,idno,formid,form_model,title,nation,year_start,year_end,repositoryid,repo_title,created,changed,varcount,total_views,authoring_entity,total_downloads,rank,type,id,url,link_da,Unnamed: 0,Category
154,UNHCR_PRY_2021_HFS_Q3_v2.1,3,licensed,High Frequency Survey - Q3 2021,Paraguay,2021,2021,SA,Americas,2021-12-10T19:20:56+01:00,2021-12-10T19:20:56+01:00,472,4088,UNHCR,0,1,survey,576,https://microdata.unhcr.org/index.php/catalog/576,,231.0,High Frequency Survey
155,UNHCR_PER_2021_HFS_Q1Q2_v2.1,3,licensed,High Frequency Survey - Q1Q2 2021,Peru,2021,2021,SA,Americas,2021-10-11T13:14:30+02:00,2021-10-11T13:14:30+02:00,485,4505,UNHCR,0,1,survey,495,https://microdata.unhcr.org/index.php/catalog/495,,198.0,High Frequency Survey
156,UNHCR_PER_2021_HFS_Q3_v2.1,3,licensed,High Frequency Survey - Q3 2021,Peru,2021,2021,SA,Americas,2021-12-10T16:42:27+01:00,2021-12-10T16:42:27+01:00,472,4140,UNHCR,0,1,survey,574,https://microdata.unhcr.org/index.php/catalog/574,,231.0,High Frequency Survey
157,UNHCR_PER_2021_HFS_Q4_v2.1,3,licensed,High Frequency Survey - 2021,Peru,2021,2021,SA,Americas,2022-04-02T21:25:54+02:00,2022-04-02T21:25:54+02:00,525,3978,UNHCR,0,1,survey,649,https://microdata.unhcr.org/index.php/catalog/649,,277.0,High Frequency Survey
158,UNHCR_PER_2021_FM_PUNO_v2.1,3,licensed,"Flow Monitoring Tacna and Puno, Q2 2021",Peru,2021,2022,SA,Americas,2022-09-24T02:56:31+02:00,2023-01-05T04:51:27+01:00,283,1262,UNHCR,0,1,survey,718,https://microdata.unhcr.org/index.php/catalog/718,,,
159,UNHCR_PER_2021_FM_TUMBES_EXITS_v2.1,3,licensed,"Flow Monitoring Tumbes (Exits), Q2 2021",Peru,2021,2022,SA,Americas,2022-09-24T02:54:25+02:00,2023-01-05T04:51:29+01:00,106,362,UNHCR,0,1,survey,723,https://microdata.unhcr.org/index.php/catalog/723,,,
160,UNHCR_PHL_2021_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2021",Philippines,2021,2021,ASIA,Asia Pacific,2022-09-18T02:28:02+02:00,2022-09-18T02:28:02+02:00,106,605,UNHCR,43,1,survey,758,https://microdata.unhcr.org/index.php/catalog/758,,,
161,UNHCR_TZA_2021_KAP_Mtendeli_v2.1,3,licensed,WASH KAP in Mtendeli Camp - April 2021,Tanzania (United Republic of),2021,2021,EHA,East and Horn of Africa,2022-11-14T17:05:44+01:00,2022-11-14T17:05:44+01:00,276,1791,UNHCR,65,1,survey,715,https://microdata.unhcr.org/index.php/catalog/715,,,
162,UNHCR_TZA_2021_KAP_New_Nyarugusu_v2.1,3,licensed,WASH KAP in New Nyarugusu Camp - April 2021,Tanzania (United Republic of),2021,2021,EHA,East and Horn of Africa,2022-11-14T17:05:18+01:00,2022-11-14T17:05:18+01:00,274,1764,UNHCR,55,1,survey,725,https://microdata.unhcr.org/index.php/catalog/725,,,
163,UNHCR_TZA_2021_KAP_Nduta_v2.1,3,licensed,WASH KAP in Nduta Camp - April 2021,Tanzania (United Republic of),2021,2021,EHA,East and Horn of Africa,2022-11-14T17:06:03+01:00,2022-11-14T17:06:03+01:00,267,1678,UNHCR,40,1,survey,716,https://microdata.unhcr.org/index.php/catalog/716,,,
164,UNHCR_TZA_2021_SENS_Mtendeli_v2.1,3,licensed,Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps: Mtendeli - Sept/October 2021,Tanzania (United Republic of),2021,2021,EHA,East and Horn of Africa,2022-11-24T10:42:10+01:00,2022-11-24T10:42:10+01:00,177,699,"UNHCR, UNICEF, Minister of Health, Tanzania Food and Nutrition centre, Tanzania Red Cross Society, Medecins sans Frontieres, World Vision, Medical Teams International",10,1,survey,794,https://microdata.unhcr.org/index.php/catalog/794,,,
165,UNHCR_TZA_2021_EIS_data_v1.1,2,public,"Energy Monitoring Framework Survey, 2021",Tanzania (United Republic of),2021,2021,EHA,East and Horn of Africa,2022-09-18T03:26:47+02:00,2022-09-18T03:26:47+02:00,101,696,UNHCR,32,1,survey,770,https://microdata.unhcr.org/index.php/catalog/770,,,
166,UNHCR_TZA_2021_SENS_Nyarugusu_BDI_v2.1,3,licensed,Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps: Nyarugusu Burundian - Sept/October 2021,Tanzania (United Republic of),2021,2021,EHA,East and Horn of Africa,2022-12-19T11:21:38+01:00,2022-12-19T11:21:38+01:00,99,493,"UNHCR, UNICEF, Minister of Health, Tanzania Food and Nutrition centre, Tanzania Red Cross Society, Medecins sans Frontieres, World Vision, Medical Teams International",8,1,survey,818,https://microdata.unhcr.org/index.php/catalog/818,,,
167,UNHCR_TZA_2021_SENS_Nduta_v2.1,3,licensed,Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps: Nduta - Sept/October 2021,Tanzania (United Republic of),2021,2021,EHA,East and Horn of Africa,2022-11-29T15:32:06+01:00,2022-11-29T15:32:06+01:00,100,176,"UNHCR, UNICEF, Minister of Health, Tanzania Food and Nutrition centre, Tanzania Red Cross Society, Medecins sans Frontieres, World Vision, Medical Teams International",9,1,survey,798,https://microdata.unhcr.org/index.php/catalog/798,,,
168,UNHCR_TZA_2021_SENS_Nyarugusu_COG_v2.1,3,licensed,Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps: Nyarugusu Congolese - Sept/October 2021,Tanzania (United Republic of),2021,2021,EHA,East and Horn of Africa,2022-12-19T10:48:54+01:00,2022-12-19T10:48:54+01:00,99,174,"UNHCR, UNICEF, Minister of Health, Tanzania Food and Nutrition centre, Tanzania Red Cross Society, Medecins sans Frontieres, World Vision, Medical Teams International",8,1,survey,817,https://microdata.unhcr.org/index.php/catalog/817,,,
169,UNHCR_WFP_RWA_2021_JPDM_v2.1,3,licensed,"Joint UNHCR/WFP Post Distribution Monitoring - September, 2021",Rwanda,2021,2021,EHA,East and Horn of Africa,2022-07-01T14:33:21+02:00,2022-07-01T14:33:21+02:00,362,3007,"UNHCR, WFP",163,1,survey,701,https://microdata.unhcr.org/index.php/catalog/701,,314.0,Joint Post Distribution Monitoring
170,UNHCR_RWA_2021_WASH_Nyabiheke_v2.1,3,licensed,"WASH Knowledge, Attitudes and Practices (KAP) Survey in Nyabiheke Refugee Camp - 2021",Rwanda,2021,2021,EHA,East and Horn of Africa,2022-02-07T17:08:54+01:00,2022-03-17T12:50:05+01:00,71,1609,UNHCR,39,1,survey,618,https://microdata.unhcr.org/index.php/catalog/618,,265.0,KAP WASH Survey
171,UNHCR_RWA_2021_WASH_Mugombwa_v2.1,3,licensed,"WASH Knowledge, Attitudes and Practices (KAP) Survey in Mugombwa Refugee Camp - 2021",Rwanda,2021,2021,EHA,East and Horn of Africa,2022-02-07T17:00:15+01:00,2022-03-17T13:20:13+01:00,71,1528,"UNHCR, World Vision",36,1,survey,617,https://microdata.unhcr.org/index.php/catalog/617,,264.0,KAP WASH Survey
172,UNHCR_RWA_2021_WASH_Kiziba_v2.1,3,licensed,"WASH Knowledge, Attitudes and Practices (KAP) Survey in Kiziba Refugee Camp - 2021",Rwanda,2021,2021,EHA,East and Horn of Africa,2022-02-07T12:04:16+01:00,2022-03-17T13:23:04+01:00,71,1292,"UNHCR, ALIGHT",29,1,survey,616,https://microdata.unhcr.org/index.php/catalog/616,,263.0,KAP WASH Survey
173,UNHCR_RWA_2021_WASH_Mahama_v2.1,3,licensed,"WASH Knowledge, Attitudes and Practices (KAP) Survey in Mahama Refugee Camp - 2021",Rwanda,2021,2021,EHA,East and Horn of Africa,2022-02-04T17:22:48+01:00,2022-02-04T17:22:48+01:00,73,1086,"UNHCR, World Vision",27,1,survey,615,https://microdata.unhcr.org/index.php/catalog/615,,262.0,KAP WASH Survey
174,UNHCR_RWA_2021_WASH_Kigeme_v2.1,3,licensed,"WASH Knowledge, Attitudes and Practices (KAP) Survey in Kigeme Refugee Camp - 2021",Rwanda,2021,2021,EHA,East and Horn of Africa,2022-02-04T16:28:30+01:00,2022-03-17T13:26:31+01:00,71,892,"UNHCR, World Vision",28,1,survey,614,https://microdata.unhcr.org/index.php/catalog/614,,261.0,KAP WASH Survey
175,UNHCR_RWA_2021_WASH_Gihembe_v2.1,3,licensed,"WASH Knowledge, Attitudes and Practices (KAP) Survey in Gihembe Refugee Camp - 2021",Rwanda,2021,2021,EHA,East and Horn of Africa,2022-02-03T16:39:11+01:00,2022-03-17T13:29:28+01:00,71,763,"UNHCR, World Vision",64,1,survey,613,https://microdata.unhcr.org/index.php/catalog/613,,260.0,KAP WASH Survey
176,UNHCR_SOM_2021_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2021",Somalia,2021,2021,EHA,East and Horn of Africa,2022-09-18T02:28:09+02:00,2022-09-18T02:28:09+02:00,106,813,UNHCR,27,1,survey,759,https://microdata.unhcr.org/index.php/catalog/759,,,
177,UNHCR_SSD_2021_EIS_data_v1.1,2,public,"Energy Monitoring Framework Survey, 2021",South Sudan,2021,2021,EHA,East and Horn of Africa,2022-09-18T03:26:41+02:00,2022-09-18T03:26:41+02:00,101,1055,UNHCR,24,1,survey,769,https://microdata.unhcr.org/index.php/catalog/769,,,
178,UNHCR_SSD_2021_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2021",South Sudan,2021,2021,EHA,East and Horn of Africa,2022-09-18T02:28:17+02:00,2022-09-18T02:28:17+02:00,106,829,UNHCR,35,1,survey,760,https://microdata.unhcr.org/index.php/catalog/760,,,
179,UNHCR_JIPS_SDN_2021_CERF_SouthDarfur_v2.1,3,licensed,"Durable Solutions Analysis Survey: South Darfur State, 2021",Sudan,2021,2021,EHA,East and Horn of Africa,2022-06-27T17:37:26+02:00,2022-06-27T17:37:26+02:00,170,1709,"UNHCR, JIPS",45,1,survey,697,https://microdata.unhcr.org/index.php/catalog/697,,310.0,Durable Solutions Analysis Survey
180,UNHCR_JIPS_SDN_2021_CERF_NorthDarfur_v2.1,3,licensed,"Durable Solutions Analysis Survey: North Darfur State, 2021",Sudan,2021,2021,EHA,East and Horn of Africa,2022-06-27T18:04:38+02:00,2022-06-27T18:04:38+02:00,169,1594,"UNHCR, JIPS",26,1,survey,698,https://microdata.unhcr.org/index.php/catalog/698,,311.0,Durable Solutions Analysis Survey
181,UNHCR_JIPS_SDN_2021_CERF_BlueNile_v2.1,3,licensed,"Durable Solutions Analysis Survey: Blue Nile State, 2021",Sudan,2021,2021,EHA,East and Horn of Africa,2022-06-27T17:41:51+02:00,2022-06-27T17:41:51+02:00,171,1574,"UNHCR, JIPS",65,1,survey,693,https://microdata.unhcr.org/index.php/catalog/693,,307.0,Durable Solutions Analysis Survey
182,UNHCR_JIPS_SDN_2021_CERF_WestDarfur_v2.1,3,licensed,"Durable Solutions Analysis Survey: West Darfur State, 2021",Sudan,2021,2021,EHA,East and Horn of Africa,2022-06-29T16:39:17+02:00,2022-06-29T16:39:17+02:00,167,1450,"UNHCR, JIPS",40,1,survey,700,https://microdata.unhcr.org/index.php/catalog/700,,313.0,Durable Solutions Analysis Survey
183,UNHCR_JIPS_SDN_2021_CERF_SouthKordofan_v2.1,3,licensed,"Durable Solutions Analysis Survey: South Kordofan State, 2021",Sudan,2021,2021,EHA,East and Horn of Africa,2022-06-29T13:28:22+02:00,2022-06-29T13:28:22+02:00,174,1304,"UNHCR, JIPS",31,1,survey,699,https://microdata.unhcr.org/index.php/catalog/699,,312.0,Durable Solutions Analysis Survey
184,UNHCR_SUR_2021_HFS_Q1Q2_v2.1,3,licensed,High Frequency Survey - Q1Q2 2021,Suriname,2021,2021,SA,Americas,2021-10-11T13:14:34+02:00,2021-10-11T13:14:34+02:00,485,3963,UNHCR,0,1,survey,488,https://microdata.unhcr.org/index.php/catalog/488,,198.0,High Frequency Survey
185,UNHCR_TJK_2021_CBI_PDM,3,licensed,"Post-Distribution Monitoring of Cash-Based Intervention, April 2021",Tajikistan,2021,2021,ASIA,Asia Pacific,2021-06-28T10:50:50+02:00,2021-06-30T16:51:34+02:00,0,545,UNHCR,236,1,survey,470,https://microdata.unhcr.org/index.php/catalog/470,,181.0,Post-Distribution Monitoring of Cash-Based Interventions
186,UNHCR_UGA_2021_Q1_PDM_NFI_v2.1,3,licensed,"Post Distribution Monitoring of Non-Food Items - Menstrual Hygiene Management Kits, Q1 2021",Uganda,2021,2021,EHA,East and Horn of Africa,2021-06-29T15:12:51+02:00,2021-06-29T15:14:46+02:00,79,2418,UNHCR,183,1,survey,473,https://microdata.unhcr.org/index.php/catalog/473,,,
187,UNHCR_UGA_2021_Q1_PDM_Soap_v2.1,3,licensed,"Post-Distribution Monitoring of Non-Food Items - Soap, Q1 2021",Uganda,2021,2021,EHA,East and Horn of Africa,2021-06-30T16:26:59+02:00,2021-06-30T16:29:30+02:00,44,1594,UNHCR,216,1,survey,475,https://microdata.unhcr.org/index.php/catalog/475,,,
188,UNHCR_UGA_2021_Q2_PDM_NFI_v2.1,3,licensed,"Post Distribution Monitoring of Non-Food Items - Menstrual Hygiene Management Kits, Q2 2021",Uganda,2021,2021,EHA,East and Horn of Africa,2021-11-02T18:31:29+01:00,2022-01-05T15:00:47+01:00,78,1495,UNHCR,108,1,survey,562,https://microdata.unhcr.org/index.php/catalog/562,,222.0,Post Distribution Monitoring of Non-Food Items
189,UNHCR_UGA_2021_Q2_PDM_Soap_v2.1,3,licensed,"Post-Distribution Monitoring of Non-Food Items - Soap, Q2 2021",Uganda,2021,2021,EHA,East and Horn of Africa,2022-01-07T17:54:05+01:00,2022-01-07T17:56:41+01:00,45,1048,UNHCR,86,1,survey,593,https://microdata.unhcr.org/index.php/catalog/593,,242.0,Post Distribution Monitoring of Non-Food Items
190,UNHCR_UGA_2021_CBIWomen_v2.1,3,licensed,Post-Distribution Monitoring of Cash-Based Interventions for Women at Risk - November 2021,Uganda,2021,2021,EHA,East and Horn of Africa,2022-09-22T16:20:41+02:00,2022-09-22T16:20:41+02:00,123,585,UNHCR,73,1,survey,735,https://microdata.unhcr.org/index.php/catalog/735,,,
191,UNHCR_URY_2021_HFS_Q1Q2_v2.1,3,licensed,High Frequency Survey - Q1Q2 2021,Uruguay,2021,2021,SA,Americas,2021-10-11T13:14:38+02:00,2021-10-11T13:14:38+02:00,485,5407,UNHCR,0,1,survey,489,https://microdata.unhcr.org/index.php/catalog/489,,198.0,High Frequency Survey
192,UNHCR_URY_2021_HFS_Q4_v2.1,3,licensed,High Frequency Survey - 2021,Uruguay,2021,2021,SA,Americas,2022-04-02T22:20:13+02:00,2022-04-02T22:20:13+02:00,525,5152,UNHCR,0,1,survey,653,https://microdata.unhcr.org/index.php/catalog/653,,277.0,High Frequency Survey
193,UNHCR_URY_2021_HFS_Q3_v2.1,3,licensed,High Frequency Survey - Q3 2021,Uruguay,2021,2021,SA,Americas,2021-12-10T21:21:57+01:00,2021-12-10T21:21:57+01:00,472,3756,UNHCR,0,1,survey,581,https://microdata.unhcr.org/index.php/catalog/581,,231.0,High Frequency Survey
194,UNHCR_YEM_2021_EIS_data_v1.1,2,public,"Energy Monitoring Framework Survey, 2021",Yemen,2021,2021,MENA,Middle East and North Africa,2022-09-18T03:27:12+02:00,2022-09-18T03:27:12+02:00,101,889,UNHCR,36,1,survey,771,https://microdata.unhcr.org/index.php/catalog/771,,,
195,UNHCR_ZMB_2021_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2021",Zambia,2021,2021,SAO,Southern Africa,2022-09-18T02:28:54+02:00,2022-09-18T02:28:54+02:00,106,984,UNHCR,35,1,survey,764,https://microdata.unhcr.org/index.php/catalog/764,,,
196,UNHCR_ZWE_2021_EIS_data_v1.1,2,public,"Energy Monitoring Framework Survey, 2021",Zimbabwe,2021,2021,SAO,Southern Africa,2022-09-18T03:27:18+02:00,2022-09-18T03:27:18+02:00,101,1058,UNHCR,37,1,survey,772,https://microdata.unhcr.org/index.php/catalog/772,,,
197,UNHCR_COD_Bunia_2021_CBI_PDM_Metadata,3,licensed,Bunia Post-Distribution Monitoring for Cash-Based Intervention - Jan 2021,Congo (Democratic Republic of the),2020,2020,SAO,Southern Africa,2021-09-03T19:38:12+02:00,2021-10-04T22:29:42+02:00,253,5097,UNHCR,0,1,survey,484,https://microdata.unhcr.org/index.php/catalog/484,,195.0,Post-Distribution Monitoring of Cash-Based Interventions
198,UNHCR_COD_Rwampara_2021_CBI_PDM_Metadata,3,licensed,Rwampara Post-Distribution Monitoring for Cash-Based Intervention - Jan 2021,Congo (Democratic Republic of the),2020,2020,SAO,Southern Africa,2021-09-03T19:40:28+02:00,2021-10-04T22:29:29+02:00,246,3992,UNHCR,0,1,survey,485,https://microdata.unhcr.org/index.php/catalog/485,,196.0,Post-Distribution Monitoring of Cash-Based Interventions
199,UNHCR_KEN_2021_SES_Urban_v2.1,3,licensed,"Socioeconomic Survey of Urban Refugees in Kenya, 2021",Kenya,2020,2020,EHA,East and Horn of Africa,2022-07-18T12:11:28+02:00,2022-07-18T12:11:28+02:00,459,4005,"UNHCR, The World Bank",139,1,survey,706,https://microdata.unhcr.org/index.php/catalog/706,,,
200,UNHCR_MYS_2021_CBI_PDM,3,licensed,"Post-Distribution Monitoring of Cash-Based Intervention, January 2021",Malaysia,2020,2021,ASIA,Asia Pacific,2021-06-14T00:02:35+02:00,2021-07-01T10:19:50+02:00,88,1647,UNHCR,103,1,survey,460,https://microdata.unhcr.org/index.php/catalog/460,,,
201,UNHCR_NPL_2021_CBI_PDM,3,licensed,"Post-Distribution Monitoring of Cash-Based Intervention, February 2021",Nepal,2020,2021,ASIA,Asia Pacific,2021-06-12T01:22:30+02:00,2021-07-01T13:34:59+02:00,0,459,UNHCR,175,1,survey,459,https://microdata.unhcr.org/index.php/catalog/459,,182.0,Post-Distribution Monitoring of Cash-Based Interventions
202,UNHCR_PER_2021_FM_TUMBES_ENTRIES_v2.1,3,licensed,"Flow Monitoring Tumbes (Entries), Q2 2021",Peru,2020,2022,SA,Americas,2022-09-24T02:50:32+02:00,2023-01-05T04:51:31+01:00,152,604,UNHCR,0,1,survey,724,https://microdata.unhcr.org/index.php/catalog/724,,,
203,UNHCR_AFG_2020_CBI_PDM_v2.1,3,licensed,Eastern Region: Post-Distribution Monitoring of Cash-Based Interventions - 2020,Afghanistan,2021,2021,ASIA,Asia Pacific,2022-03-21T20:04:43+01:00,2022-03-21T20:04:43+01:00,148,3000,UNHCR,248,1,survey,642,https://microdata.unhcr.org/index.php/catalog/642,,275.0,Post-Distribution Monitoring of Cash-Based Interventions
204,UNHCR_BGD_2020_PDM_NFI_v2.1,3,licensed,"Post Distribution Monitoring - Shelter and Non-Food Items, Rohingya Refugee Response - July 2020",Bangladesh,2021,2021,ASIA,Asia Pacific,2021-02-17T14:26:15+01:00,2021-02-17T14:29:46+01:00,1418,20287,UNHCR,474,1,survey,293,https://microdata.unhcr.org/index.php/catalog/293,,93.0,Post Distribution Monitoring of Non-Food Items
205,UNHCR_JOR_2021_PDM_WINTER_v2.1,3,licensed,"Post Distribution Monitoring: Winter Cash Support, 2020–2021",Jordan,2021,2021,MENA,Middle East and North Africa,2023-03-13T19:55:35+01:00,2023-03-14T00:20:03+01:00,198,10,UNHCR,0,1,survey,849,https://microdata.unhcr.org/index.php/catalog/849,,,
206,UNHCR_MOZ_2021_JAM_v2.1,3,licensed,UNHCR-WFP Joint Assessment Mission in Maratane - 2020-2021,Mozambique,2021,2021,SAO,Southern Africa,2022-10-18T11:50:08+02:00,2022-10-18T11:50:08+02:00,496,9034,"UNHCR, WFP",32,1,survey,680,https://microdata.unhcr.org/index.php/catalog/680,,295.0,Joint Assessment Mission
207,UNHCR_AFG_2020_VOL_REP,3,licensed,"Voluntary Repatriation, 2020",Afghanistan,2020,2020,ASIA,Asia Pacific,2022-01-13T07:30:34+01:00,2022-01-18T13:44:30+01:00,11,1832,UNHCR,218,1,survey,594,https://microdata.unhcr.org/index.php/catalog/594,,243.0,Voluntary Repatriation
208,UNHCR_ZAF_2020_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2020",South Africa,2020,2020,SAO,Southern Africa,2021-10-12T22:35:26+02:00,2021-10-12T22:35:26+02:00,106,2802,UNHCR,69,1,survey,558,https://microdata.unhcr.org/index.php/catalog/558,,220.0,Livelihoods Programme Monitoring Beneficiary Survey
209,UNHCR_ZAF_2020_CBI_PDM_v2.1,3,licensed,Post-Distribution Monitoring of Cash-Based Intervention - Mar 2020 - Feb 2021,South Africa,2020,2021,SAO,Southern Africa,2021-12-08T19:00:18+01:00,2021-12-14T17:12:58+01:00,125,1249,UNHCR,34,1,survey,570,https://microdata.unhcr.org/index.php/catalog/570,,230.0,Post-Distribution Monitoring of Cash-Based Interventions
210,UNHCR_AGO_2020_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2020",Angola,2020,2020,SAO,Southern Africa,2021-10-12T22:31:26+02:00,2021-10-12T22:31:26+02:00,106,2989,UNHCR,76,1,survey,536,https://microdata.unhcr.org/index.php/catalog/536,,220.0,Livelihoods Programme Monitoring Beneficiary Survey
211,UNHCR_SYR_2020_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2020",Syrian Arab Republic,2020,2020,MENA,Middle East and North Africa,2021-10-12T22:35:01+02:00,2021-10-12T22:35:01+02:00,106,3038,UNHCR,118,1,survey,555,https://microdata.unhcr.org/index.php/catalog/555,,220.0,Livelihoods Programme Monitoring Beneficiary Survey
212,UNHCR_SYR_2020_PDM_MPCG_OCTOBER_v2.1,3,licensed,"Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant), October 2020",Syrian Arab Republic,2020,2021,MENA,Middle East and North Africa,2022-06-18T18:06:09+02:00,2022-06-18T18:06:09+02:00,163,1387,UNHCR,0,1,survey,684,https://microdata.unhcr.org/index.php/catalog/684,,299.0,Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant)
213,UNHCR_SYR_2020_PDM_WINTER_APRIL_v2.1,3,licensed,"Post-Distribution Monitoring of Cash-Based Interventions (winterization), April 2020",Syrian Arab Republic,2020,2020,MENA,Middle East and North Africa,2022-06-18T18:59:45+02:00,2022-06-18T18:59:45+02:00,174,1256,UNHCR,0,1,survey,688,https://microdata.unhcr.org/index.php/catalog/688,,302.0,Post-Distribution Monitoring of Cash-Based Interventions (winterization)
214,UNHCR_SYR_2020_PDM_MPCG_APRIL_v2.1,3,licensed,"Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant), April 2020",Syrian Arab Republic,2020,2020,MENA,Middle East and North Africa,2022-06-18T17:44:25+02:00,2022-06-18T17:44:25+02:00,172,1197,UNHCR,0,1,survey,683,https://microdata.unhcr.org/index.php/catalog/683,,298.0,Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant)
215,UNHCR_SYR_2020_PDM_COVID_SEPTEMBER_v2.1,3,licensed,"Post-Distribution Monitoring of Cash-Based Interventions, September 2020",Syrian Arab Republic,2020,2020,MENA,Middle East and North Africa,2022-06-18T19:29:33+02:00,2022-06-18T19:29:33+02:00,178,982,UNHCR,0,1,survey,690,https://microdata.unhcr.org/index.php/catalog/690,,304.0,Post-Distribution Monitoring of Cash-Based Interventions
216,UNHCR_SYR_2020_PDM_EDU_OCTOBER_v2.1,3,licensed,"Post-Distribution Monitoring of Cash-Based Interventions (Education grants), October 2020",Syrian Arab Republic,2020,2021,MENA,Middle East and North Africa,2022-06-18T19:21:57+02:00,2022-06-18T19:21:57+02:00,62,566,UNHCR,0,1,survey,689,https://microdata.unhcr.org/index.php/catalog/689,,303.0,Post-Distribution Monitoring of Cash-Based Interventions (Education grants)
217,UNHCR_ARG_2020_HFS_Q4_v2.1,3,licensed,High Frequency Survey - Q4 2020,Argentina,2020,2020,SA,Americas,2021-06-10T09:53:14+02:00,2021-06-10T09:53:14+02:00,586,8494,UNHCR,79,1,survey,439,https://microdata.unhcr.org/index.php/catalog/439,,160.0,High Frequency Survey
218,UNHCR_ARG_2020_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2020",Argentina,2020,2020,SA,Americas,2021-10-12T22:32:37+02:00,2021-10-12T22:32:37+02:00,106,2315,UNHCR,69,1,survey,537,https://microdata.unhcr.org/index.php/catalog/537,,220.0,Livelihoods Programme Monitoring Beneficiary Survey
219,UNHCR_BGD_2020_JMSNA_HostCommunity_v2.1,3,licensed,"Joint Multi Sector Needs Assessment: Cox’s Bazar, Rohingya Refugee Response – August 2020, Host Community",Bangladesh,2020,2020,ASIA,Asia Pacific,2020-12-03T13:10:49+01:00,2020-12-03T13:16:49+01:00,617,22302,"UNHCR, Inter-sector Coordination Group",1009,1,survey,280,https://microdata.unhcr.org/index.php/catalog/280,,,
220,UNHCR_BGD_2020_JMSNA_Refugees_v2.1,3,licensed,"Joint Multi Sector Needs Assessment: Cox’s Bazar, Rohingya Refugee Response – August 2020, Refugees",Bangladesh,2020,2020,ASIA,Asia Pacific,2020-12-03T13:53:17+01:00,2020-12-03T14:01:41+01:00,680,22108,"UNHCR, Inter-sector Coordination Group",1173,1,survey,281,https://microdata.unhcr.org/index.php/catalog/281,,,
221,UNHCR_BGD_2020_PDM_CBI_v2.1,3,licensed,"Post-Distribution Monitoring of Cash-Based Intervention, September 2020",Bangladesh,2020,2020,ASIA,Asia Pacific,2021-01-08T15:09:34+01:00,2021-01-08T15:12:13+01:00,111,4971,UNHCR,279,1,survey,285,https://microdata.unhcr.org/index.php/catalog/285,,,
222,UNHCR_BGD_2020_EIS_data_v1.1,2,public,"Energy Monitoring Framework Survey, 2020",Bangladesh,2020,2020,ASIA,Asia Pacific,2021-10-12T20:34:11+02:00,2021-10-12T20:34:11+02:00,101,3236,UNHCR,109,1,survey,526,https://microdata.unhcr.org/index.php/catalog/526,,219.0,Energy Monitoring Framework Survey
223,WBG_BGD_2020_CBPS-HFT_v01_M,5,remote,"Cox’s Bazar Panel Survey, High-Frequency Tracking Survey 2020-2021",Bangladesh,2020,2021,WBG,The World Bank Microdata Library,2022-12-21T10:13:36+01:00,2022-12-21T10:37:17+01:00,860,2648,The World Bank,0,1,survey,822,https://microdata.unhcr.org/index.php/catalog/822,,,
224,UNHCR_BGD_2020_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2020",Bangladesh,2020,2020,ASIA,Asia Pacific,2021-10-12T22:32:53+02:00,2021-10-12T22:32:53+02:00,106,2393,UNHCR,138,1,survey,539,https://microdata.unhcr.org/index.php/catalog/539,,220.0,Livelihoods Programme Monitoring Beneficiary Survey
225,R4V_REGIONAL_PROTECTION_SECTOR_2020_EVICTIONS_v2.1,3,licensed,Regional Evictions Survey - 2020,"Colombia, Ecuador, Peru, Brazil, Guyana, Panama, Dominican Republic",2020,2020,SA,Americas,2021-05-31T14:50:25+02:00,2021-06-01T15:55:45+02:00,278,4010,R4V Regional Protection Sector,222,1,survey,436,https://microdata.unhcr.org/index.php/catalog/436,,157.0,Regional Evictions Survey
226,UNHCR_BFA_2020_LIS_data_v1.1,2,public,"Livelihoods Programme Monitoring Beneficiary Survey, 2020",Burkina Faso,2020,2020,WA,West and Central Africa,2021-10-12T22:32:45+02:00,2021-10-12T22:32:45+02:00,106,2588,UNHCR,86,1,survey,538,https://microdata.unhcr.org/index.php/catalog/538,,220.0,Livelihoods Programme Monitoring Beneficiary Survey
