"","title","Category"
"274","High Frequency Phone Survey - Internally Displaced Persons (IDP) and Returnees Sample 2020","High Frequency Phone Survey - Internally Displaced Persons (IDP) and Returnees"
"275","Eastern Region: Post-Distribution Monitoring of Cash-Based Interventions - 2020","Post-Distribution Monitoring of Cash-Based Interventions"
"276","Intention survey of IDPs in Bambari - 2021","Intention survey of IDPs"
"277","High Frequency Survey - 2021","High Frequency Survey"
"278","High Frequency Survey - Q1 2022","High Frequency Survey"
"279","Standardised Expanded Nutrition Survey (Dzaleka Refugee Camp) - 2012","Standardized Expanded Nutrition Survey (SENS)"
"280","Standardised Expanded Nutrition Survey (Dzaleka and Luwani Refugee Camps and Host Communities) - 2016","Standardized Expanded Nutrition Survey (SENS)"
"281","Standardised Expanded Nutrition Survey (Maratane) - 2012","Standardized Expanded Nutrition Survey (SENS)"
"282","Standardised Expanded Nutrition Survey (Maratane) - 2015","Standardized Expanded Nutrition Survey (SENS)"
"283","Standardised Expanded Nutrition Survey (Dukwi) - 2013","Standardized Expanded Nutrition Survey (SENS)"
"284","Standardised Expanded Nutrition Survey (South, South-East and West) - 2016","Standardized Expanded Nutrition Survey (SENS)"
"285","Standardised Expanded Nutrition Survey (East) - 2016","Standardized Expanded Nutrition Survey (SENS)"
"286","Refugee Social Registry Inclusion Census, 2021","Population and Housing Census"
"287","Livelihoods Programme Monitoring Beneficiary Survey, 2017","Livelihoods Programme Monitoring Beneficiary Survey"
"288","Intention Survey of Rohingya Refugees from Myanmar: A Regional Perspective - 2021","Intention survey of Rohingya Refugees"
"289","Evaluation of Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration in Afghanistan, Key Informants Interviews - March 2021","Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration"
"290","Evaluation of Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration in Afghanistan, Household Survey - March 2021","Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration"
"291","Far North Joint Assessment of Nigerian Refugees - Oct 2021","Joint Assessment Mission"
"292","UNHCR-WFP Joint Assessment Mission - August 2021","Joint Assessment Mission"
"293","Evaluation of Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration in Afghanistan, Household Survey - December 2021","Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration"
"294","Mayo-Tsanaga IDP Profiling - Jul-Sep 2021","Internal Displacement Profiling"
"295","UNHCR-WFP Joint Assessment Mission in Maratane - 2020-2021","Joint Assessment Mission"
"296","Annual Survey of Refugees, 2019","Annual Survey of Refugees"
"297","Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant), October 2019","Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant)"
"298","Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant), April 2020","Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant)"
"299","Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant), October 2020","Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant)"
"300","Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant), June 2021","Post-Distribution Monitoring of Cash-Based Interventions (Multi-Purpose Cash Grant)"
"301","Post-Distribution Monitoring of Cash-Based Interventions (winterization), February 2021","Post-Distribution Monitoring of Cash-Based Interventions (winterization)"
"302","Post-Distribution Monitoring of Cash-Based Interventions (winterization), April 2020","Post-Distribution Monitoring of Cash-Based Interventions (winterization)"
"303","Post-Distribution Monitoring of Cash-Based Interventions (Education grants), October 2020","Post-Distribution Monitoring of Cash-Based Interventions (Education grants)"
"304","Post-Distribution Monitoring of Cash-Based Interventions, September 2020","Post-Distribution Monitoring of Cash-Based Interventions"
"305","Participatory Assessment for Syrians, 2021","Participatory Assessment"
"306","Participatory Assessment for Refugees, 2021","Participatory Assessment"
"307","Durable Solutions Analysis Survey: Blue Nile State, 2021","Durable Solutions Analysis Survey"
"308","Annual Survey of Refugees, 2018","Annual Survey of Refugees"
"309","Annual Survey of Refugees, 2017","Annual Survey of Refugees"
"310","Durable Solutions Analysis Survey: South Darfur State, 2021","Durable Solutions Analysis Survey"
"311","Durable Solutions Analysis Survey: North Darfur State, 2021","Durable Solutions Analysis Survey"
"312","Durable Solutions Analysis Survey: South Kordofan State, 2021","Durable Solutions Analysis Survey"
"313","Durable Solutions Analysis Survey: West Darfur State, 2021","Durable Solutions Analysis Survey"
"314","Joint UNHCR/WFP Post Distribution Monitoring - September, 2021","Joint Post Distribution Monitoring"
"315","Evaluation of Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration in Afghanistan, Key Informants Interview - December 2021","Community-Based Protection and Solutions Programme in Priority Areas of Return and Re-integration"
"316","Monitoring COVID-19 Impact on Refugees in Ethiopia: High-Frequency Phone Survey of Refugees 2020","High-Frequency Phone Survey of Refugees"
